player,mp_per_game_peak,pts_per_game_peak,trb_per_game_peak,ast_per_game_peak,stl_per_game_peak,blk_per_game_peak
Ochai Agbaji,25.096325,10.796949,4.151597,1.5053269,0.8212479,0.5186297
Paolo Banchero,35.323452,26.587416,7.6236367,5.3553934,0.9282273,0.6081198
MarJon Beauchamp,21.105934,8.044459,3.0856502,1.0747899,0.5208468,0.2687699
Malaki Branham,23.758457,11.445392,2.631162,2.2122157,0.555064,0.17431232
Christian Braun,30.681189,15.790189,5.083771,2.3276827,0.9463467,0.4393944
Max Christie,24.049484,10.095181,3.6498744,1.826148,0.7686486,0.4235226
Dyson Daniels,31.256529,15.104819,5.484622,4.8178525,1.957556,0.51927215
Ousmane Dieng,20.379938,7.901525,3.058294,1.2761488,0.603353,0.26099783
Jalen Duren,28.658525,13.768718,10.134719,2.730673,0.7799963,0.9082712
Simone Fontecchio,21.977383,10.169195,3.541283,1.443455,0.622938,0.3181857
A.J. Green,22.969906,9.916735,2.5053387,1.4471285,0.57651645,0.17367248
Jaden Hardy,22.487171,11.898076,2.4064088,2.0522552,0.60201365,0.16819036
Caleb Houstan,19.807386,7.9366274,2.4747555,1.0753965,0.54282314,0.19628432
Jaden Ivey,31.558805,19.63528,4.2793827,4.6434755,0.90293515,0.44141272
Walker Kessler,28.869701,12.414381,10.30218,1.7432649,0.6385199,2.1695278
Jake LaRavia,24.179935,10.586322,4.2020025,2.3607407,0.89535546,0.37938532
Bennedict Mathurin,30.66537,17.770864,5.169026,2.3163686,0.75387937,0.2814067
Keegan Murray,31.69939,14.316901,6.6101456,1.7613771,0.924531,0.8442566
Andrew Nembhard,29.510817,12.545313,3.2494438,5.21197,1.146239,0.2052396
Orlando Robinson,21.290773,8.26394,5.340032,1.8826493,0.53158164,0.40115607
David Roddy,21.32567,8.657447,3.658924,1.3808113,0.52260035,0.30788678
Shaedon Sharpe,32.614365,20.510962,4.7377234,3.0377192,0.90473473,0.34255078
Jabari Smith Jr.,30.935072,13.649456,7.681385,1.5753869,0.6330325,0.74172276
Jeremy Sochan,28.567772,13.14955,6.655648,2.9439683,0.87936044,0.48565483
Dalen Terry,21.627157,8.049241,2.752475,1.9836676,0.73535985,0.29192805
Jabari Walker,21.559105,9.078775,5.228697,1.1293464,0.67459196,0.29220578
Blake Wesley,20.698874,7.7882867,2.3510838,3.3525655,0.81469333,0.16105919
Jalen Williams,33.00253,23.453451,5.282179,5.0423355,1.4930245,0.62530446
Jaylin Williams,21.15214,8.065437,5.943601,2.7577174,0.6391434,0.49691492
