player,season,pos,archetype
Precious Achiuwa,2025,C,Rim Protectors / Putback Bigs
Steven Adams,2025,C,Rim Protectors / Putback Bigs
Bam Adebayo,2025,C,Rim-Running Bigs / Defensive Anchors
Ochai Agbaji,2025,SG,Versatile Forwards / Secondary Scorers
Santi Aldama,2025,PF,Versatile Forwards / Secondary Scorers
Nickeil Alexander-Walker,2025,SG,3-and-D Wings / Floor Spacers
Trey Alexander,2025,SG,Low-Usage Role Guards
Grayson Allen,2025,SG,3-and-D Wings / Floor Spacers
Jarrett Allen,2025,C,Rim-Running Bigs / Defensive Anchors
Jose Alvarado,2025,PG,3-and-D Wings / Floor Spacers
Kyle Anderson,2025,PF,Versatile Forwards / Secondary Scorers
Giannis Antetokounmpo,2025,PF,All-NBA Level Stars
Cole Anthony,2025,PG,Primary Creators / Star Guards
OG Anunoby,2025,PF,Versatile Forwards / Secondary Scorers
Armel Traoré,2025,SF,Versatile Forwards / Secondary Scorers
Deni Avdija,2025,SF,Primary Creators / Star Guards
Deandre Ayton,2025,C,Rim-Running Bigs / Defensive Anchors
Marvin Bagley III,2025,PF,Rim Protectors / Putback Bigs
Marcus Bagley,2025,SF,Versatile Forwards / Secondary Scorers
Patrick Baldwin Jr.,2025,SF,3-and-D Wings / Floor Spacers
LaMelo Ball,2025,PG,Primary Creators / Star Guards
Lonzo Ball,2025,PG,3-and-D Wings / Floor Spacers
Mo Bamba,2025,C,Versatile Forwards / Secondary Scorers
Paolo Banchero,2025,PF,Primary Creators / Star Guards
Desmond Bane,2025,SG,Primary Creators / Star Guards
Dalano Banton,2025,PG,Versatile Forwards / Secondary Scorers
Dominick Barlow,2025,SF,Versatile Forwards / Secondary Scorers
Harrison Barnes,2025,PF,Versatile Forwards / Secondary Scorers
Scottie Barnes,2025,PF,Primary Creators / Star Guards
RJ Barrett,2025,SF,Primary Creators / Star Guards
Charles Bassey,2025,C,Rim Protectors / Putback Bigs
Emoni Bates,2025,SF,3-and-D Wings / Floor Spacers
Jamison Battle,2025,SF,3-and-D Wings / Floor Spacers
Nicolas Batum,2025,PF,3-and-D Wings / Floor Spacers
Damion Baugh,2025,SG,Low-Usage Role Guards
Bradley Beal,2025,SG,Primary Creators / Star Guards
Malik Beasley,2025,SG,3-and-D Wings / Floor Spacers
MarJon Beauchamp,2025,SF,Versatile Forwards / Secondary Scorers
Reece Beekman,2025,PG,Low-Usage Role Guards
Goga Bitadze,2025,C,Rim-Running Bigs / Defensive Anchors
Bismack Biyombo,2025,C,Rim Protectors / Putback Bigs
Anthony Black,2025,PG,Versatile Forwards / Secondary Scorers
Bogdan Bogdanović,2025,SG,3-and-D Wings / Floor Spacers
Bol Bol,2025,PF,Versatile Forwards / Secondary Scorers
Adem Bona,2025,C,Rim Protectors / Putback Bigs
Devin Booker,2025,SG,Primary Creators / Star Guards
Brandon Boston Jr.,2025,SG,Versatile Forwards / Secondary Scorers
Chris Boucher,2025,PF,Versatile Forwards / Secondary Scorers
Jamaree Bouyea,2025,PG,Low-Usage Role Guards
Tony Bradley,2025,C,Rim Protectors / Putback Bigs
Malaki Branham,2025,SG,Versatile Forwards / Secondary Scorers
Christian Braun,2025,SG,Rim-Running Bigs / Defensive Anchors
Jalen Bridges,2025,SF,3-and-D Wings / Floor Spacers
Mikal Bridges,2025,SF,Primary Creators / Star Guards
Miles Bridges,2025,PF,Primary Creators / Star Guards
Oshae Brissett,2025,SF,Versatile Forwards / Secondary Scorers
Malcolm Brogdon,2025,PG,Low-Usage Role Guards
Dillon Brooks,2025,SF,3-and-D Wings / Floor Spacers
Keion Brooks Jr.,2025,SF,Versatile Forwards / Secondary Scorers
Bruce Brown,2025,PG,Versatile Forwards / Secondary Scorers
Jaylen Brown,2025,SF,Primary Creators / Star Guards
Kobe Brown,2025,PF,Versatile Forwards / Secondary Scorers
Moses Brown,2025,C,Rim Protectors / Putback Bigs
Jalen Brunson,2025,PG,All-NBA Level Stars
Thomas Bryant,2025,C,Versatile Forwards / Secondary Scorers
Kobe Bufkin,2025,SG,Low-Usage Role Guards
Alec Burks,2025,SG,3-and-D Wings / Floor Spacers
Jared Butler,2025,SG,Low-Usage Role Guards
Jimmy Butler,2025,SF,Primary Creators / Star Guards
Matas Buzelis,2025,SF,Versatile Forwards / Secondary Scorers
Jamal Cain,2025,SF,Versatile Forwards / Secondary Scorers
Kentavious Caldwell-Pope,2025,SG,3-and-D Wings / Floor Spacers
Toumani Camara,2025,PF,Versatile Forwards / Secondary Scorers
Vlatko Čančar,2025,PF,3-and-D Wings / Floor Spacers
Clint Capela,2025,C,Rim Protectors / Putback Bigs
Branden Carlson,2025,C,Versatile Forwards / Secondary Scorers
Bub Carrington,2025,PG,3-and-D Wings / Floor Spacers
Devin Carter,2025,PG,Versatile Forwards / Secondary Scorers
Jevon Carter,2025,PG,3-and-D Wings / Floor Spacers
Wendell Carter Jr.,2025,C,Versatile Forwards / Secondary Scorers
D.J. Carton,2025,SG,Replacement-Level Players
Alex Caruso,2025,SG,Versatile Forwards / Secondary Scorers
Colin Castleton,2025,C,Rim Protectors / Putback Bigs
Stephon Castle,2025,PG,Versatile Forwards / Secondary Scorers
Justin Champagnie,2025,SF,Versatile Forwards / Secondary Scorers
Julian Champagnie,2025,SF,3-and-D Wings / Floor Spacers
Ulrich Chomche,2025,PF,Rim Protectors / Putback Bigs
Cam Christie,2025,SG,Versatile Forwards / Secondary Scorers
Josh Christopher,2025,SG,Low-Usage Role Guards
Max Christie,2025,SG,3-and-D Wings / Floor Spacers
Sidy Cissoko,2025,SF,Versatile Forwards / Secondary Scorers
Brandon Clarke,2025,PF,Rim-Running Bigs / Defensive Anchors
Jaylen Clark,2025,SG,Versatile Forwards / Secondary Scorers
Jordan Clarkson,2025,SG,Low-Usage Role Guards
Nic Claxton,2025,C,Rim-Running Bigs / Defensive Anchors
Donovan Clingan,2025,C,Rim Protectors / Putback Bigs
Noah Clowney,2025,PF,3-and-D Wings / Floor Spacers
Amir Coffey,2025,SG,3-and-D Wings / Floor Spacers
Isaiah Collier,2025,PG,Low-Usage Role Guards
John Collins,2025,PF,Versatile Forwards / Secondary Scorers
Yuri Collins,2025,PG,Inefficient Midrange Forwards
Zach Collins,2025,PF,Versatile Forwards / Secondary Scorers
Mike Conley,2025,PG,3-and-D Wings / Floor Spacers
Pat Connaughton,2025,SG,Versatile Forwards / Secondary Scorers
Bilal Coulibaly,2025,SF,Versatile Forwards / Secondary Scorers
Ricky Council IV,2025,SF,Versatile Forwards / Secondary Scorers
Torrey Craig,2025,SF,3-and-D Wings / Floor Spacers
Isaiah Crawford,2025,SF,Versatile Forwards / Secondary Scorers
Jae Crowder,2025,PF,3-and-D Wings / Floor Spacers
Cui Yongxi,2025,SG,Replacement-Level Players
Cade Cunningham,2025,PG,All-NBA Level Stars
Seth Curry,2025,SG,3-and-D Wings / Floor Spacers
Stephen Curry,2025,PG,All-NBA Level Stars
Pacome Dadiet,2025,SG,3-and-D Wings / Floor Spacers
Dyson Daniels,2025,SG,Versatile Forwards / Secondary Scorers
Tristan Da Silva,2025,SF,Versatile Forwards / Secondary Scorers
Anthony Davis,2025,PF,Rim-Running Bigs / Defensive Anchors
JD Davison,2025,PG,Low-Usage Role Guards
Johnny Davis,2025,SG,Versatile Forwards / Secondary Scorers
Terence Davis,2025,SG,Replacement-Level Players
RayJ Dennis,2025,PG,Low-Usage Role Guards
DeMar DeRozan,2025,SF,Primary Creators / Star Guards
Moussa Diabaté,2025,C,Rim Protectors / Putback Bigs
Gradey Dick,2025,SG,3-and-D Wings / Floor Spacers
Ousmane Dieng,2025,C,Versatile Forwards / Secondary Scorers
Rob Dillingham,2025,PG,Low-Usage Role Guards
Spencer Dinwiddie,2025,PG,Primary Creators / Star Guards
Donte DiVincenzo,2025,SG,3-and-D Wings / Floor Spacers
Luka Dončić,2025,PG,All-NBA Level Stars
Luguentz Dort,2025,SF,3-and-D Wings / Floor Spacers
Ayo Dosunmu,2025,SG,Versatile Forwards / Secondary Scorers
Jeff Dowtin,2025,PG,Primary Creators / Star Guards
PJ Dozier,2025,SG,3-and-D Wings / Floor Spacers
Andre Drummond,2025,C,Rim Protectors / Putback Bigs
Chris Duarte,2025,SG,3-and-D Wings / Floor Spacers
Alex Ducas,2025,SG,3-and-D Wings / Floor Spacers
David Duke Jr.,2025,SG,3-and-D Wings / Floor Spacers
Kris Dunn,2025,PG,Versatile Forwards / Secondary Scorers
Ryan Dunn,2025,SF,Versatile Forwards / Secondary Scorers
Kevin Durant,2025,PF,Primary Creators / Star Guards
Jalen Duren,2025,C,Rim-Running Bigs / Defensive Anchors
Tari Eason,2025,PF,Versatile Forwards / Secondary Scorers
Zach Edey,2025,C,Rim-Running Bigs / Defensive Anchors
Anthony Edwards,2025,SG,All-NBA Level Stars
Justin Edwards,2025,SF,3-and-D Wings / Floor Spacers
Kessler Edwards,2025,SF,Versatile Forwards / Secondary Scorers
Keon Ellis,2025,SG,3-and-D Wings / Floor Spacers
Joel Embiid,2025,C,Primary Creators / Star Guards
Tyson Etienne,2025,PG,3-and-D Wings / Floor Spacers
Drew Eubanks,2025,C,Rim Protectors / Putback Bigs
Tosan Evbuomwan,2025,SF,Versatile Forwards / Secondary Scorers
Dante Exum,2025,PG,3-and-D Wings / Floor Spacers
Bruno Fernando,2025,C,Rim Protectors / Putback Bigs
Kyle Filipowski,2025,C,Versatile Forwards / Secondary Scorers
Dorian Finney-Smith,2025,PF,3-and-D Wings / Floor Spacers
Adam Flagler,2025,SG,3-and-D Wings / Floor Spacers
Trentyn Flowers,2025,SF,Inefficient Midrange Forwards
Malachi Flynn,2025,PG,Low-Usage Role Guards
Simone Fontecchio,2025,SF,3-and-D Wings / Floor Spacers
De'Aaron Fox,2025,PG,Primary Creators / Star Guards
Enrique Freeman,2025,PF,Versatile Forwards / Secondary Scorers
Markelle Fultz,2025,PG,Low-Usage Role Guards
Johnny Furphy,2025,SG,Versatile Forwards / Secondary Scorers
Daniel Gafford,2025,C,Rim-Running Bigs / Defensive Anchors
Darius Garland,2025,PG,All-NBA Level Stars
Marcus Garrett,2025,SG,Low-Usage Role Guards
Luka Garza,2025,C,Versatile Forwards / Secondary Scorers
Keyonte George,2025,PG,Low-Usage Role Guards
Kyshawn George,2025,SG,3-and-D Wings / Floor Spacers
Paul George,2025,PF,Primary Creators / Star Guards
Taj Gibson,2025,C,Rim Protectors / Putback Bigs
Josh Giddey,2025,PG,Primary Creators / Star Guards
Shai Gilgeous-Alexander,2025,PG,All-NBA Level Stars
Anthony Gill,2025,PF,Versatile Forwards / Secondary Scorers
Collin Gillespie,2025,PG,3-and-D Wings / Floor Spacers
Rudy Gobert,2025,C,Rim-Running Bigs / Defensive Anchors
Jordan Goodwin,2025,PG,Versatile Forwards / Secondary Scorers
Aaron Gordon,2025,PF,Versatile Forwards / Secondary Scorers
Eric Gordon,2025,SG,3-and-D Wings / Floor Spacers
Jazian Gortman,2025,PG,Low-Usage Role Guards
Jerami Grant,2025,PF,3-and-D Wings / Floor Spacers
A.J. Green,2025,SG,3-and-D Wings / Floor Spacers
Draymond Green,2025,PF,Versatile Forwards / Secondary Scorers
Javonte Green,2025,SG,Versatile Forwards / Secondary Scorers
Jalen Green,2025,SG,Primary Creators / Star Guards
Jeff Green,2025,PF,3-and-D Wings / Floor Spacers
Josh Green,2025,SG,3-and-D Wings / Floor Spacers
Quentin Grimes,2025,SG,Primary Creators / Star Guards
Mouhamed Gueye,2025,PF,Versatile Forwards / Secondary Scorers
Rui Hachimura,2025,PF,Versatile Forwards / Secondary Scorers
Tyrese Haliburton,2025,PG,All-NBA Level Stars
PJ Hall,2025,C,Versatile Forwards / Secondary Scorers
